HHID,tenur,hhinc,nwork,ncars,nchil,hhsiz,true_hhsiz,true_nwork,true_nchil,hhtype,puma,i_age,i_sex,race_,i_eth,i_inc,emply,indus,edu_q,tenur_prox,geoid
1,Owned free and clear,51-75K,0,2+,0,2,2,0,0,MC,1300100,NA,NA,NA,NA,NA,NA,NA,NA,Owned,130390101002
2,Owned with mortgage or loan,51-75K,1,2+,0,3,3,1,0,MC,1300100,NA,NA,NA,NA,NA,NA,NA,NA,Owned,130390101002
3,Rented,101-150K,2,2+,0,3,3,2,0,MC,1300100,NA,NA,NA,NA,NA,NA,NA,NA,Rented,130390101001
4,Owned free and clear,51-75K,0,2+,0,2,2,0,0,MC,1300100,NA,NA,NA,NA,NA,NA,NA,NA,Owned,130390101002
5,Owned with mortgage or loan,101-150K,1,2+,0,3,3,1,0,MC,1300100,NA,NA,NA,NA,NA,NA,NA,NA,Owned,130390101002
6,Owned free and clear,76-100K,2,2+,0,2,2,2,0,MC,1300100,NA,NA,NA,NA,NA,NA,NA,NA,Owned,130390101002
7,Owned free and clear,26-50K,2,2+,3+,5,5,2,3,MC,1300100,NA,NA,NA,NA,NA,NA,NA,NA,Owned,130390101001
8,Owned with mortgage or loan,76-100K,2,2+,0,3,3,2,0,MC,1300100,NA,NA,NA,NA,NA,NA,NA,NA,Owned,130390101001
9,Owned free and clear,51-75K,1,1,0,2,2,1,0,MC,1300100,NA,NA,NA,NA,NA,NA,NA,NA,Owned,130390101002
10,Owned free and clear,>150K,1,2+,0,2,2,1,0,MC,1300100,NA,NA,NA,NA,NA,NA,NA,NA,Owned,130390101002
11,Owned with mortgage or loan,51-75K,2,2+,0,2,2,2,0,MC,1300100,NA,NA,NA,NA,NA,NA,NA,NA,Owned,130390101002
12,Owned free and clear,>150K,1,2+,0,2,2,1,0,MC,1300100,NA,NA,NA,NA,NA,NA,NA,NA,Owned,130390101002
13,Owned with mortgage or loan,>150K,1,2+,0,6+,7,1,0,MC,1300100,NA,NA,NA,NA,NA,NA,NA,NA,Owned,130390101001
14,Owned free and clear,101-150K,1,2+,0,2,2,1,0,MC,1300100,NA,NA,NA,NA,NA,NA,NA,NA,Owned,130390101002
15,Owned with mortgage or loan,101-150K,1,2+,1,4,4,1,1,MC,1300100,NA,NA,NA,NA,NA,NA,NA,NA,Owned,130390101002
16,Owned with mortgage or loan,51-75K,1,2+,0,2,2,1,0,MC,1300100,NA,NA,NA,NA,NA,NA,NA,NA,Owned,130390101002
17,Owned free and clear,>150K,0,2+,0,2,2,0,0,MC,1300100,NA,NA,NA,NA,NA,NA,NA,NA,Owned,130390101002
18,Rented,26-50K,1,1,0,3,3,1,0,MC,1300100,NA,NA,NA,NA,NA,NA,NA,NA,Rented,130390101001
19,Owned free and clear,101-150K,0,2+,0,2,2,0,0,MC,1300100,NA,NA,NA,NA,NA,NA,NA,NA,Owned,130390101002
20,Owned with mortgage or loan,51-75K,0,2+,0,2,2,0,0,MC,1300100,NA,NA,NA,NA,NA,NA,NA,NA,Owned,130390101001
21,Owned with mortgage or loan,51-75K,1,2+,0,2,2,1,0,MC,1300100,NA,NA,NA,NA,NA,NA,NA,NA,Owned,130390101002
22,Owned free and clear,101-150K,0,2+,0,2,2,0,0,MC,1300100,NA,NA,NA,NA,NA,NA,NA,NA,Owned,130390101002
23,Owned free and clear,76-100K,0,2+,0,2,2,0,0,MC,1300100,NA,NA,NA,NA,NA,NA,NA,NA,Owned,130390101002
24,Owned free and clear,101-150K,0,2+,0,2,2,0,0,MC,1300100,NA,NA,NA,NA,NA,NA,NA,NA,Owned,130390101002
25,Rented,51-75K,2,2+,0,2,2,2,0,MC,1300100,NA,NA,NA,NA,NA,NA,NA,NA,Rented,130390101001
26,Rented,51-75K,2,2+,3+,5,5,2,3,MC,1300100,NA,NA,NA,NA,NA,NA,NA,NA,Rented,130390101001
27,Owned with mortgage or loan,76-100K,2,2+,0,2,2,2,0,MC,1300100,NA,NA,NA,NA,NA,NA,NA,NA,Owned,130390101001
28,Owned with mortgage or loan,76-100K,3+,2+,1,5,5,4,1,MC,1300100,NA,NA,NA,NA,NA,NA,NA,NA,Owned,130390101001
29,Owned with mortgage or loan,>150K,2,2+,1,3,3,2,1,MC,1300100,NA,NA,NA,NA,NA,NA,NA,NA,Owned,130390101001
30,Owned with mortgage or loan,76-100K,2,2+,0,2,2,2,0,MC,1300100,NA,NA,NA,NA,NA,NA,NA,NA,Owned,130390101002
31,Owned with mortgage or loan,>150K,3+,2+,3+,6+,7,3,3,MC,1300100,NA,NA,NA,NA,NA,NA,NA,NA,Owned,130390101001
32,Owned free and clear,1-25K,0,2+,0,2,2,0,0,MC,1300100,NA,NA,NA,NA,NA,NA,NA,NA,Owned,130390101002
33,Owned with mortgage or loan,26-50K,1,2+,2+,4,4,1,2,MC,1300100,NA,NA,NA,NA,NA,NA,NA,NA,Owned,130390101002
34,Rented,51-75K,2,2+,3+,5,5,2,3,MC,1300100,NA,NA,NA,NA,NA,NA,NA,NA,Rented,130390101001
35,Owned with mortgage or loan,>150K,2,2+,0,2,2,2,0,MC,1300100,NA,NA,NA,NA,NA,NA,NA,NA,Owned,130390101002
